mag,SNR
12.401372212692968, 1502.655772763174
12.577799558931634, 1384.2501551912906
13.035050641182718, 1136.1621683189078
13.535438617985788, 926.8581120916244
13.725240954014538, 843.2843216090978
13.91504329004329, 757.6927484703679
14.018571836968064, 722.1599710514026
14.346412235563179, 619.7260363492139
14.467195540308747, 587.2809678649721
14.795035938903862, 502.66491892424045
14.915819243649434, 476.6801594604068
15.260914400065342, 404.95786879583784
15.373070325900514, 383.95715293194803
15.709538103406029, 328.2932403218244
15.891945543225866, 299.2042107479564
16.102563142657484, 271.52235286588444
16.27894511149228, 249.5890349204128
16.486002205341826, 225.3124714130719
16.675804541370578, 207.36439814271594
16.86560687739933, 187.39042545396921
17.05540921342808, 172.64334168979008
17.245211549456833, 156.42159705000665
17.435013885485585, 142.6147452888721
17.624816221514333, 129.89088426880411
17.814618557543085, 117.87067312236522
18.004420893571837, 107.07456681425533
18.19422322960059, 97.2165382583564
18.38402556562934, 87.99004955812873
18.57382790165809, 79.80570095911688
18.76363023768684, 71.9305594006085
18.95343257371559, 65.47883510140531
19.134607530833946, 58.91278627817326
19.30427931607177, 52.707351729619425
19.496957445070652, 48.92362213850467
19.791726224509244, 41.19562394838688
19.988718042963324, 37.142024173438145
20.195775136812873, 32.78503462474334
20.36616587029323, 29.62128006228973
20.54662187916905, 26.325153788428356
20.75828024177081, 22.905018007382715
20.920474965286285, 20.62676808651594
21.118904680225434, 17.954814918709033
21.29145225843339, 15.89666712674057
21.45537245773095, 14.122122479622842
21.619292657028506, 12.475420552057379
21.79184023523646, 10.969514996571272
21.95576043453402, 9.648464839506161
22.11105325492118, 8.530484496645965
22.26634607530834, 7.542046010217087
22.4216388956955, 6.646898509068754
22.576931716082658, 5.8430611348668124
22.72359715755942, 5.224861983568358

