wavelength_nm,throughput
201.89997808270365,0.0005858822905045433
201.89997808270365,0.0005097826568616483
201.89997808270365,0.0004435675244819608
201.89997808270365,0.00038595300590708794
201.89997808270365,0.0003358219764683759
201.89997808270365,0.00029220241364378815
201.89997808270365,0.00025424854989291007
201.89997808270365,0.00022122447353036003
201.89997808270365,0.00019248985966448457
201.89997808270365,0.0001674875545293954
201.89997808270365,0.00014573277247504254
201.89997808270365,0.0001268036961488686
201.89997808270365,0.00011033329760996804
201.89997808270365,0.00009600222179011279
201.89997808270365,0.00008353259431453221
201.89997808270365,0.00007268263361832786
201.89997808270365,0.00006324196288941367
201.89997808270365,0.000055027530938249204
201.89997808270365,0.000047880062901508196
205.46710788699298,0.0008893025016691893
205.46710788699298,0.0007737919363703897
205.46710788699298,0.0006732849167386776
209.0342376912823,0.0005857830097608955
209.0342376912823,0.000509696271589227
209.0342376912823,0.0004434923597015906
209.0342376912823,0.0003858876042008739
209.0342376912823,0.0003357650697208988
209.0342376912823,0.00029215289845380474
209.0342376912823,0.0002542054661788026
209.0342376912823,0.0002250674730354234
214.38493239771628,0.0005463474421791387
214.38493239771628,0.00047538294834581203
214.38493239771628,0.0004136359578743275
214.38493239771628,0.00035990921896119775
214.38493239771628,0.0003131609895787033
214.38493239771628,0.000272484838473909
214.38493239771628,0.0002370920697946397
214.38493239771628,0.0002062964305622782
214.38493239771628,0.00017950080447481492
214.38493239771628,0.0001561856340378064
214.38493239771628,0.000135898846532547
214.38493239771628,0.00011824708848962574
214.38493239771628,0.00010288809870747986
214.38493239771628,0.00008952407193153737
216.16849729986095,0.0006501029806398125
217.9520622020056,0.0010217532528087761
217.9520622020056,0.0008890387989459985
217.9520622020056,0.0007735624857161737
219.73562710415027,0.0017215615639735375
219.73562710415027,0.0014979497456349875
219.73562710415027,0.001303382630865019
219.73562710415027,0.0011340876337079552
220.33014873819852,0.0020485570712342046
221.51919200629493,0.011661441298421846
221.51919200629493,0.010146748970388173
221.51919200629493,0.008828798433518397
221.51919200629493,0.007682035103773229
221.51919200629493,0.0066842236551193325
221.51919200629493,0.005816016884602848
221.51919200629493,0.005060580577084459
221.51919200629493,0.00440326709589896
221.51919200629493,0.003831331370480193
221.51919200629493,0.003333683774054319
221.51919200629493,0.0029006750997891766
221.51919200629493,0.002523909466165177
223.3027569084396,0.017096351764663828
223.3027569084396,0.0148757246403987
223.3027569084396,0.01317061275161713
223.89727854248784,0.0203436537110954
225.08632181058425,0.05775725516251292
225.08632181058425,0.05025522612131878
225.08632181058425,0.04372762773089852
225.08632181058425,0.038047892220325924
225.08632181058425,0.03310589157313501
225.08632181058425,0.028805802184928057
225.08632181058425,0.02506424687835794
227.46440834677716,0.06637542684128953
230.43701651701824,0.08320851976930836
232.22058141916287,0.14265844619462312
232.22058141916287,0.12412869087103004
232.22058141916287,0.10800574595026312
232.22058141916287,0.09397699336403206
234.00414632130756,0.16394735100771687
235.78771122345225,0.18841319683082736
238.16579775964513,0.21905216121059226
241.1384059298862,0.2667591988980608
244.70553573417553,0.2320904605569264
244.70553573417553,0.20194447508058963
246.48910063632016,0.26672529539932155
248.27266553846485,0.3173784595010121
255.4069251470435,0.3228917973488372
262.5411847556221,0.3172709058157106
269.67544436420076,0.29589933673768326
269.67544436420076,0.2665784300231895
275.0261390706347,0.24863207187034875
276.8097039727794,0.2201235960332018
280.3768337770688,0.18821373821210913
283.94396358135805,0.16375297783632206
287.5110933856474,0.13760073812600723
287.5110933856474,0.11972792317650016
289.294658287792,0.1006109862757841
289.294658287792,0.08754273123526396
291.0782231899367,0.07616867094375691
291.0782231899367,0.06627520249825326
291.0782231899367,0.057666786249005626
292.8617880920814,0.05017438231827899
292.8617880920814,0.043657284644288176
292.8617880920814,0.037986685923147724
292.8617880920814,0.03305263529743278
292.8617880920814,0.0287594633107855
292.8617880920814,0.02502392691177211
292.8617880920814,0.021773595401235267
292.8617880920814,0.018945446027244624
292.8617880920814,0.01648464199674054
292.8617880920814,0.014343469209957853
292.8617880920814,0.012480411101295882
292.8617880920814,0.01085934364813318
292.8617880920814,0.009448834939099543
294.6453529942261,0.007940141089547322
294.6453529942261,0.006908804526247048
294.6453529942261,0.006011427182915837
294.6453529942261,0.005230609237562208
294.6453529942261,0.004551210912747103
294.6453529942261,0.003960058920777285
294.6453529942261,0.0034456910384234613
294.6453529942261,0.002998133858559195
296.42891789637065,0.0025194223410338807
296.42891789637065,0.0021921772266965066
296.42891789637065,0.0019074376355949592
296.42891789637065,0.0016596825700843732
296.42891789637065,0.0014441081490890696
298.21248279851534,0.0012135276493066753
298.21248279851534,0.0010559038210659658
298.21248279851534,0.0009187535858607778
298.21248279851534,0.0007994176502551955
298.21248279851534,0.0006955821336368405
298.21248279851534,0.0006052337029090202
298.21248279851534,0.0005266205346904597
298.21248279851534,0.00045821834809380165
298.21248279851534,0.0003987008494707221
298.21248279851534,0.00034691401605798305
298.21248279851534,0.0003018537198936067
298.21248279851534,0.0002626462581390169
298.21248279851534,0.00022853141229712577
298.21248279851534,0.00019884770785074678
299.99604770066003,0.0001670977285394805
299.99604770066003,0.00014539358057237997
299.99604770066003,0.00012650856152519467
299.99604770066003,0.00011007649771171751
299.99604770066003,0.0000957787773601758
299.99604770066003,0.00008333817284626063
299.99604770066003,0.00007251346534979891
299.99604770066003,0.00006309476770911029
299.99604770066003,0.00005489945478488457
299.99604770066003,0.00004776862242481002
299.99604770066003,0.000041564006369555434
299.99604770066003,0.0000361653013588096
301.7796126028047,0.000031466495275067974
301.7796126028047,0.000027379345345350153
